t,t1,t2,t3,t4,hour_sin,hour_cos,dayofweek,target
184.0,161.0,146.0,176.0,187.0,-0.7933533402912357,0.6087614290087199,2,148.0
26.0,26.0,33.0,19.0,19.0,0.9883615104677607,0.1521233861899168,6,25.0
110.0,125.0,146.0,135.0,99.0,-0.6427876096865396,0.7660444431189778,4,141.0
139.0,136.0,116.0,110.0,106.0,0.15212338618991708,-0.9883615104677607,6,65.0
12.0,4.0,10.0,14.0,13.0,0.3007057995042732,0.9537169507482269,2,9.0
88.0,87.0,88.0,89.0,87.0,0.02181488503456112,0.9997620270799091,2,98.0
81.0,91.0,103.0,96.0,102.0,-0.19509032201612872,0.9807852804032303,3,72.0
82.0,85.0,78.0,75.0,87.0,0.737277336810124,0.6755902076156604,0,104.0
17.0,24.0,23.0,29.0,16.0,-0.537299608346825,0.8433914458128849,3,22.0
32.0,33.0,34.0,34.0,34.0,0.6915130557822694,0.7223639620597556,3,32.0
12.0,20.0,14.0,27.0,13.0,0.08715574274765817,0.9961946980917455,0,5.0
133.0,137.0,141.0,141.0,136.0,0.5735764363510462,0.8191520442889918,6,119.0
148.0,121.0,86.0,101.0,112.0,0.9978589232386035,0.06540312923014327,3,122.0
38.0,41.0,36.0,29.0,33.0,0.9320078692827984,0.3624380382837017,2,55.0
55.0,66.0,56.0,71.0,86.0,-0.5000000000000004,0.8660254037844384,0,66.0
17.0,32.0,24.0,28.0,37.0,-0.1521233861899172,0.9883615104677607,4,31.0
0.0,2.0,2.0,0.0,0.0,0.48098876891938763,0.8767267557075077,0,0.0
73.0,64.0,55.0,59.0,64.0,0.984807753012208,-0.1736481776669303,4,106.0
91.0,107.0,141.0,94.0,134.0,-0.9320078692827986,0.36243803828370147,6,46.0
9.0,8.0,13.0,8.0,12.0,0.5187732581605214,0.8549118706729466,3,11.0
47.0,66.0,75.0,48.0,53.0,0.08715574274765817,0.9961946980917455,5,47.0
106.0,116.0,112.0,113.0,107.0,-0.7071067811865477,0.7071067811865474,0,78.0
109.0,64.0,83.0,66.0,91.0,0.5913096483635824,0.8064446042674827,3,105.0
45.0,72.0,52.0,35.0,64.0,0.8064446042674828,-0.5913096483635821,6,51.0
126.0,93.0,118.0,103.0,134.0,-0.625923472184059,0.7798844830928818,4,107.0
34.0,31.0,29.0,20.0,21.0,0.043619387365336,0.9990482215818578,3,25.0
97.0,60.0,92.0,80.0,88.0,0.49999999999999994,0.8660254037844387,5,65.0
129.0,99.0,100.0,102.0,97.0,0.15212338618991708,-0.9883615104677607,0,92.0
17.0,25.0,37.0,19.0,23.0,0.40274668985873724,0.9153114791194471,2,38.0
35.0,35.0,35.0,35.0,35.0,0.7071067811865475,0.7071067811865476,4,35.0
121.0,125.0,124.0,125.0,125.0,-0.40274668985873663,0.9153114791194474,5,121.0
136.0,139.0,142.0,141.0,144.0,-0.887010833178222,0.46174861323503325,6,133.0
44.0,50.0,52.0,83.0,64.0,-0.8767267557075075,0.48098876891938813,1,2.0
35.0,35.0,35.0,35.0,35.0,0.7518398074789774,0.6593458151000688,2,35.0
143.0,120.0,117.0,119.0,152.0,-0.9713420698132613,-0.23768589232617343,5,137.0
95.0,104.0,94.0,87.0,98.0,0.3214394653031616,0.9469301294951057,6,84.0
111.0,120.0,106.0,100.0,110.0,-0.8870108331782218,-0.4617486132350336,3,102.0
17.0,17.0,17.0,19.0,20.0,0.7518398074789774,0.6593458151000688,6,17.0
68.0,79.0,70.0,67.0,67.0,-0.4422886902190014,0.8968727415326883,0,66.0
95.0,111.0,107.0,118.0,124.0,-0.9396926207859084,-0.34202014332566855,4,80.0
105.0,121.0,123.0,141.0,129.0,0.0,1.0,4,63.0
59.0,65.0,69.0,70.0,86.0,-0.2798290140309924,0.9600498543859286,0,63.0
74.0,68.0,75.0,59.0,65.0,0.9997620270799091,0.021814885034560937,6,54.0
84.0,67.0,88.0,105.0,88.0,-0.5187732581605214,0.8549118706729466,4,79.0
22.0,21.0,23.0,22.0,36.0,0.6427876096865393,0.766044443118978,4,13.0
157.0,138.0,179.0,100.0,174.0,-0.9063077870366499,0.4226182617406996,2,87.0
23.0,26.0,31.0,31.0,29.0,0.15212338618991672,0.9883615104677607,1,23.0
142.0,169.0,158.0,119.0,170.0,-0.043619387365336194,0.9990482215818578,0,145.0
73.0,81.0,72.0,85.0,101.0,0.49999999999999994,0.8660254037844387,0,80.0
17.0,20.0,24.0,27.0,27.0,0.0,1.0,0,19.0
51.0,62.0,61.0,54.0,69.0,-0.9469301294951057,0.3214394653031615,6,60.0
61.0,44.0,44.0,50.0,59.0,0.5187732581605214,0.8549118706729466,5,42.0
40.0,46.0,53.0,51.0,48.0,-0.9659258262890684,0.2588190451025203,0,56.0
125.0,101.0,109.0,127.0,127.0,0.0871557427476582,-0.9961946980917455,4,91.0
106.0,108.0,89.0,112.0,88.0,0.5187732581605218,-0.8549118706729464,5,96.0
123.0,149.0,157.0,163.0,132.0,0.7071067811865476,-0.7071067811865475,2,145.0
88.0,65.0,87.0,87.0,104.0,0.30070579950427334,-0.9537169507482268,0,76.0
145.0,143.0,169.0,152.0,186.0,-0.537299608346825,0.8433914458128849,4,148.0
31.0,37.0,26.0,37.0,33.0,0.5372996083468238,0.8433914458128857,0,30.0
0.0,0.0,1.0,0.0,0.0,0.9997620270799091,0.021814885034560937,1,0.0
132.0,78.0,123.0,122.0,118.0,-0.6427876096865389,-0.7660444431189783,4,113.0
